Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Number of countries,,Country,Population,Confirmed Cases,Death Cases,Recovered Cases,Active Cases,New Cases,New Deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
2020-01-22,555,17,28,510,0,0,0,3.06,5.05,60.71,6,,Afghanistan,38928341,36263,1269,25198,9796,106,10,18,3.5,69.49,5.04,35526,737,2.07,Eastern Mediterranean
2020-01-23,654,18,30,606,99,1,2,2.75,4.59,60,8,,Albania,2877800,4880,144,2745,1991,117,6,63,2.95,56.25,5.25,4171,709,17,Europe
2020-01-24,941,26,36,879,287,8,6,2.76,3.83,72.22,9,,Algeria,43851043,27973,1163,18837,7973,616,8,749,4.16,67.34,6.17,23691,4282,18.07,Africa
2020-01-25,1434,42,39,1353,493,16,3,2.93,2.72,107.69,11,,Andorra,77265,907,52,803,52,10,0,0,5.73,88.53,6.48,884,23,2.6,Europe
2020-01-26,2118,56,52,2010,684,14,13,2.64,2.46,107.69,13,,Angola,32866268,950,41,242,667,18,1,0,4.32,25.47,16.94,749,201,26.84,Africa
2020-01-27,2927,82,61,2784,809,26,9,2.8,2.08,134.43,16,,Antigua and Barbuda,97928,86,3,65,18,4,0,5,3.49,75.58,4.62,76,10,13.16,Americas
2020-01-28,5578,131,107,5340,2651,49,46,2.35,1.92,122.43,16,,Argentina,45195777,167416,3059,72575,91782,4890,120,2057,1.83,43.35,4.21,130774,36642,28.02,Americas
2020-01-29,6166,133,125,5908,588,2,18,2.16,2.03,106.4,18,,Armenia,2963234,37390,711,26665,10014,73,6,187,1.9,71.32,2.67,34981,2409,6.89,Europe
2020-01-30,8234,171,141,7922,2068,38,16,2.08,1.71,121.28,20,,Australia,25499881,15303,167,9311,5825,368,6,137,1.09,60.84,1.79,12428,2875,23.13,Western Pacific
2020-01-31,9927,213,219,9495,1693,42,78,2.15,2.21,97.26,24,,Austria,9006400,20558,713,18246,1599,86,1,37,3.47,88.75,3.91,19743,815,4.13,Europe
2020-02-01,12038,259,281,11498,2111,46,62,2.15,2.33,92.17,25,,Azerbaijan,10139175,30446,423,23242,6781,396,6,558,1.39,76.34,1.82,27890,2556,9.16,Europe
2020-02-02,16787,362,459,15966,4749,103,178,2.16,2.73,78.87,25,,Bahamas,393248,382,11,91,280,40,0,0,2.88,23.82,12.09,174,208,119.54,Americas
2020-02-03,19887,426,604,18857,3100,64,145,2.14,3.04,70.53,25,,Bahrain,1701583,39482,141,36110,3231,351,1,421,0.36,91.46,0.39,36936,2546,6.89,Eastern Mediterranean
2020-02-04,23898,492,821,22585,4011,66,217,2.06,3.44,59.93,26,,Bangladesh,164689383,226225,2965,125683,97577,2772,37,1801,1.31,55.56,2.36,207453,18772,9.05,South-East Asia
2020-02-05,27643,564,1071,26008,3745,72,250,2.04,3.87,52.66,26,,Barbados,287371,110,7,94,9,0,0,0,6.36,85.45,7.45,106,4,3.77,Americas
2020-02-06,30802,634,1418,28750,3159,70,347,2.06,4.6,44.71,26,,Belarus,9449321,67251,538,60492,6221,119,4,67,0.8,89.95,0.89,66213,1038,1.57,Europe
2020-02-07,34334,719,1903,31712,3532,85,485,2.09,5.54,37.78,26,,Belgium,11589616,66428,9822,17452,39154,402,1,14,14.79,26.27,56.28,64094,2334,3.64,Europe
2020-02-08,37068,806,2470,33792,2734,87,567,2.17,6.66,32.63,26,,Belize,397621,48,2,26,20,0,0,0,4.17,54.17,7.69,40,8,20,Americas
2020-02-09,40095,906,3057,36132,3027,100,587,2.26,7.62,29.64,26,,Benin,12123198,1770,35,1036,699,0,0,0,1.98,58.53,3.38,1602,168,10.49,Africa
2020-02-10,42633,1013,3714,37906,2538,107,657,2.38,8.71,27.28,26,,Bhutan,771612,99,0,86,13,4,0,1,0,86.87,0,90,9,10,South-East Asia
2020-02-11,44675,1113,4417,39145,2042,100,703,2.49,9.89,25.2,26,,Bolivia,11673029,71181,2647,21478,47056,1752,64,309,3.72,30.17,12.32,60991,10190,16.71,Americas
2020-02-12,46561,1118,4849,40594,1886,5,432,2.4,10.41,23.06,26,,Bosnia and Herzegovina,3280815,10498,294,4930,5274,731,14,375,2.8,46.96,5.96,8479,2019,23.81,Europe
2020-02-13,60206,1371,5930,52905,13645,253,1081,2.28,9.85,23.12,26,,Botswana,2351625,739,2,63,674,53,1,11,0.27,8.53,3.17,522,217,41.57,Africa
2020-02-14,66690,1523,7613,57554,6484,152,1683,2.28,11.42,20.01,27,,Brazil,212559409,2442375,87618,1846641,508116,23284,614,33728,3.59,75.61,4.74,2118646,323729,15.28,Americas
2020-02-15,68765,1666,8902,58197,2075,143,1289,2.42,12.95,18.71,27,,Brunei,437479,141,3,138,0,0,0,0,2.13,97.87,2.17,141,0,0,Western Pacific
2020-02-16,70879,1770,10319,58790,2114,104,1417,2.5,14.56,17.15,27,,Bulgaria,6948445,10621,347,5585,4689,194,7,230,3.27,52.58,6.21,8929,1692,18.95,Europe
2020-02-17,72815,1868,11951,58996,1936,98,1632,2.57,16.41,15.63,27,,Burkina Faso,20903278,1100,53,926,121,14,0,6,4.82,84.18,5.72,1065,35,3.29,Africa
2020-02-18,74609,2008,13693,58908,1794,140,1742,2.69,18.35,14.66,27,,Burma,54409800,350,6,292,52,0,0,2,1.71,83.43,2.05,341,9,2.64,South-East Asia
2020-02-19,75030,2123,15394,57513,421,115,1701,2.83,20.52,13.79,28,,Burundi,11890781,378,1,301,76,17,0,22,0.26,79.63,0.33,322,56,17.39,Africa
2020-02-20,75577,2246,17369,55962,547,123,1975,2.97,22.98,12.93,28,,Cabo Verde,548800,2328,22,1550,756,21,0,103,0.95,66.58,1.42,2071,257,12.41,Africa
2020-02-21,76206,2250,17966,55990,629,4,597,2.95,23.58,12.52,30,,Cambodia,16718971,226,0,147,79,1,0,4,0,65.04,0,171,55,32.16,Western Pacific
2020-02-22,77967,2457,21849,53661,1761,207,3883,3.15,28.02,11.25,30,,Cameroon,26545864,17110,391,14539,2180,402,6,0,2.29,84.97,2.69,16157,953,5.9,Africa
2020-02-23,78290,2467,22304,53519,323,10,455,3.15,28.49,11.06,31,,Canada,37742157,116458,8944,0,107514,682,11,0,7.68,0,,112925,3533,3.13,Americas
2020-02-24,78854,2627,24047,52180,564,160,1743,3.33,30.5,10.92,36,,Central African Rep.,4829764,4599,59,1546,2994,0,0,0,1.28,33.62,3.82,4548,51,1.12,Africa
2020-02-25,79707,2707,26652,50348,853,80,2605,3.4,33.44,10.16,41,,Chad,16425859,922,75,810,37,7,0,0,8.13,87.85,9.26,889,33,3.71,Africa
2020-02-26,80670,2767,29077,48826,963,60,2425,3.43,36.04,9.52,47,,Chile,19116209,347923,9187,319954,18782,2133,75,1859,2.64,91.96,2.87,333029,14894,4.47,Americas
2020-02-27,82034,2810,31919,47305,1364,43,2842,3.43,38.91,8.8,51,,China,1439323774,86783,4656,78869,3258,213,4,7,5.37,90.88,5.9,85622,1161,1.36,Western Pacific
2020-02-28,83411,2867,35306,45238,1377,57,3387,3.44,42.33,8.12,57,,Colombia,50882884,257101,8777,131161,117163,16306,508,11494,3.41,51.02,6.69,204005,53096,26.03,Americas
2020-02-29,85306,2936,38314,44056,1895,69,3008,3.44,44.91,7.66,61,,Comoros,869595,354,7,328,19,0,0,0,1.98,92.66,2.13,334,20,5.99,Africa
2020-03-01,87690,2990,41208,43492,2384,54,2894,3.41,46.99,7.26,66,,Dem. Rep. Congo,5518092,3200,54,829,2317,162,3,73,1.69,25.91,6.51,2851,349,12.24,Africa
2020-03-02,89664,3079,44085,42500,1974,89,2877,3.43,49.17,6.98,73,,Costa Rica,5094114,15841,115,3824,11902,612,11,88,0.73,24.14,3.01,11534,4307,37.34,Americas
2020-03-03,92241,3154,46681,42406,2577,75,2596,3.42,50.61,6.76,76,,C̫te d'Ivoire,"25,070,000",15655,96,10361,5198,59,0,183,0.61,66.18,0.93,14312,1343,9.38,Africa
2020-03-04,94540,3249,49619,41672,2299,95,2938,3.44,52.48,6.55,80,,Croatia,4105268,4881,139,3936,806,24,3,70,2.85,80.64,3.53,4370,511,11.69,Europe
2020-03-05,97331,3342,52237,41752,2791,93,2618,3.43,53.67,6.4,84,,Cuba,11326616,2532,87,2351,94,37,0,2,3.44,92.85,3.7,2446,86,3.52,Americas
2020-03-06,101274,3454,54270,43550,3943,112,2033,3.41,53.59,6.36,93,,Cyprus,875899,1060,19,852,189,3,0,0,1.79,80.38,2.23,1038,22,2.12,Europe
2020-03-07,105312,3553,56760,44999,4038,99,2490,3.37,53.9,6.26,94,,Czechia,10708982,15516,373,11428,3715,192,2,0,2.4,73.65,3.26,14098,1418,10.06,Europe
2020-03-08,109266,3797,59092,46377,3954,244,2332,3.48,54.08,6.43,99,,Denmark,5792203,13761,613,12605,543,109,0,77,4.45,91.6,4.86,13453,308,2.29,Europe
2020-03-09,113166,3981,60891,48294,3900,184,1799,3.52,53.81,6.54,102,,Djibouti,988002,5059,58,4977,24,9,0,11,1.15,98.38,1.17,5020,39,0.78,Eastern Mediterranean
2020-03-10,118190,4260,62802,51128,5024,279,1911,3.6,53.14,6.78,105,,Dominica,71991,18,0,18,0,0,0,0,0,100,0,18,0,0,Americas
2020-03-11,125853,4604,65113,56136,7663,344,2311,3.66,51.74,7.07,111,,Dominican Republic,10847904,64156,1083,30204,32869,1248,20,1601,1.69,47.08,3.59,53956,10200,18.9,Americas
2020-03-12,131603,4909,66434,60260,5750,305,1321,3.73,50.48,7.39,113,,Ecuador,17643060,81161,5532,34896,40733,467,17,0,6.82,43,15.85,74620,6541,8.77,Americas
2020-03-13,146008,5406,68359,72243,14405,497,1925,3.7,46.82,7.91,120,,Egypt,102334403,92482,4652,34838,52992,420,46,1007,5.03,37.67,13.35,88402,4080,4.62,Eastern Mediterranean
2020-03-14,157114,5823,70729,80562,11106,417,2370,3.71,45.02,8.23,133,,El Salvador,6486201,15035,408,7778,6849,405,8,130,2.71,51.73,5.25,12207,2828,23.17,Americas
2020-03-15,168260,6464,74139,87657,11146,641,3410,3.84,44.06,8.72,137,,Equatorial Guinea,1402985,3071,51,842,2178,0,0,0,1.66,27.42,6.06,3071,0,0,Africa
2020-03-16,182919,7144,76192,99583,14659,680,2053,3.91,41.65,9.38,143,,Eritrea,3546427,265,0,191,74,2,0,2,0,72.08,0,251,14,5.58,Africa
2020-03-17,198757,7948,78944,111865,15838,804,2752,4,39.72,10.07,146,,Estonia,1326539,2034,69,1923,42,0,0,1,3.39,94.54,3.59,2021,13,0.64,Europe
2020-03-18,218343,8845,81427,128071,19586,897,2483,4.05,37.29,10.86,150,,Eswatini,1160164,2316,34,1025,1257,109,2,39,1.47,44.26,3.32,1826,490,26.83,Africa
2020-03-19,246261,9951,83064,153246,27918,1106,1637,4.04,33.73,11.98,154,,Ethiopia,114963583,14547,228,6386,7933,579,5,170,1.57,43.9,3.57,10207,4340,42.52,Africa
2020-03-20,275869,11429,85509,178931,29608,1478,2445,4.14,31,13.37,161,,Fiji,896444,27,0,18,9,0,0,0,0,66.67,0,27,0,0,Western Pacific
2020-03-21,308175,13134,89775,205266,32306,1705,4266,4.26,29.13,14.63,163,,Finland,5540718,7398,329,6920,149,5,0,0,4.45,93.54,4.75,7340,58,0.79,Europe
2020-03-22,341585,14831,95990,230764,33410,1697,6215,4.34,28.1,15.45,168,,France,65273512,220352,30212,81212,108928,2551,17,267,13.71,36.86,37.2,214023,6329,2.96,Europe
2020-03-23,383750,16748,96456,270546,42165,1917,466,4.36,25.14,17.36,169,,Gabon,2225728,7189,49,4682,2458,205,0,219,0.68,65.13,1.05,6433,756,11.75,Africa
2020-03-24,424889,19016,105997,299876,41154,2268,9541,4.48,24.95,17.94,171,,Gambia,2416664,326,8,66,252,49,2,6,2.45,20.25,12.12,112,214,191.07,Africa
2020-03-25,475706,21793,111445,342468,50817,2777,5448,4.58,23.43,19.55,174,,Georgia,3989175,1137,16,922,199,6,0,2,1.41,81.09,1.74,1039,98,9.43,Europe
2020-03-26,538666,24800,119804,394062,62960,3007,8359,4.6,22.24,20.7,175,,Germany,83783945,207112,9125,190314,7673,445,1,259,4.41,91.89,4.79,203325,3787,1.86,Europe
2020-03-27,603066,28318,128508,446240,64400,3518,8704,4.7,21.31,22.04,176,,Ghana,31072945,33624,168,29801,3655,655,0,307,0.5,88.63,0.56,28430,5194,18.27,Africa
2020-03-28,670723,31997,136800,501926,67657,3679,8292,4.77,20.4,23.39,176,,Greece,10423056,4227,202,1374,2651,34,0,0,4.78,32.51,14.7,4012,215,5.36,Europe
2020-03-29,730300,35470,146261,548569,59577,3473,9461,4.86,20.03,24.25,176,,Greenland,"56,025",14,0,13,1,1,0,0,0,92.86,0,13,1,7.69,Europe
2020-03-30,794939,39634,161707,593598,64639,4164,15446,4.99,20.34,24.51,177,,Grenada,112519,23,0,23,0,0,0,0,0,100,0,23,0,0,Americas
2020-03-31,871355,44478,174074,652803,76416,4844,12367,5.1,19.98,25.55,179,,Guatemala,17915567,45309,1761,32455,11093,256,27,843,3.89,71.63,5.43,39039,6270,16.06,Americas
2020-04-01,947569,50029,189434,708106,76214,5551,15360,5.28,19.99,26.41,179,,Guinea,13132792,7055,45,6257,753,47,2,105,0.64,88.69,0.72,6590,465,7.06,Africa
2020-04-02,1028968,56334,206052,766582,81399,6305,16618,5.47,20.03,27.34,180,,Guinea-Bissau,1874000,1954,26,803,1125,0,0,0,1.33,41.1,3.24,1949,5,0.26,Africa
2020-04-03,1112123,62319,221060,828744,83155,5985,15008,5.6,19.88,28.19,180,,Guyana,786559,389,20,181,188,19,0,0,5.14,46.53,11.05,337,52,15.43,Americas
2020-04-04,1192586,68160,241072,883354,80463,5841,20012,5.72,20.21,28.27,180,,Haiti,11402533,7340,158,4365,2817,25,1,0,2.15,59.47,3.62,7053,287,4.07,Americas
2020-04-05,1264304,73181,254477,936646,71718,5021,13405,5.79,20.13,28.76,182,,Holy See,825,12,0,12,0,0,0,0,0,100,0,12,0,0,Europe
2020-04-06,1336976,79013,270812,987151,72672,5832,16335,5.91,20.26,29.18,183,,Honduras,9904608,39741,1166,5039,33536,465,50,117,2.93,12.68,23.14,34611,5130,14.82,Americas
2020-04-07,1413849,86915,293665,1033269,76873,7902,22853,6.15,20.77,29.6,183,,Hungary,9660350,4448,596,3329,523,13,0,0,13.4,74.84,17.9,4339,109,2.51,Europe
2020-04-08,1497624,93650,322017,1081957,83775,6735,28352,6.25,21.5,29.08,183,,Iceland,341250,1854,10,1823,21,7,0,0,0.54,98.33,0.55,1839,15,0.82,Europe
2020-04-09,1584249,101279,346349,1136621,86625,7629,24332,6.39,21.86,29.24,183,,India,1380004385,1480073,33408,951166,495499,44457,637,33598,2.26,64.26,3.51,1155338,324735,28.11,South-East Asia
2020-04-10,1671907,108551,367477,1195879,87658,7272,21128,6.49,21.98,29.54,184,,Indonesia,273523621,100303,4838,58173,37292,1525,57,1518,4.82,58,8.32,88214,12089,13.7,South-East Asia
2020-04-11,1748872,114620,392991,1241261,76965,6069,25514,6.55,22.47,29.17,184,,Iran,83992953,293606,15912,255144,22550,2434,212,1931,5.42,86.9,6.24,276202,17404,6.3,Eastern Mediterranean
2020-04-12,1845653,120351,411864,1313438,96802,5731,18873,6.52,22.32,29.22,184,,Iraq,40222503,112585,4458,77144,30983,2553,96,1927,3.96,68.52,5.78,94693,17892,18.89,Eastern Mediterranean
2020-04-13,1915247,126098,438395,1350754,69594,5747,26531,6.58,22.89,28.76,184,,Ireland,4937796,25892,1764,23364,764,11,0,0,6.81,90.24,7.55,25766,126,0.49,Europe
2020-04-14,1985174,132996,463014,1389164,69927,6898,24619,6.7,23.32,28.72,184,,Israel,8655541,63985,474,27133,36378,2029,4,108,0.74,42.41,1.75,52003,11982,23.04,Europe
2020-04-15,2066003,141308,498925,1425770,80829,8312,35911,6.84,24.15,28.32,184,,Italy,60461828,246286,35112,198593,12581,168,5,147,14.26,80.64,17.68,244624,1662,0.68,Europe
2020-04-16,2162715,148591,529015,1485109,96712,7283,30090,6.87,24.46,28.09,184,,Jamaica,2961161,853,10,714,129,11,0,0,1.17,83.7,1.4,809,44,5.44,Americas
2020-04-17,2250439,157481,554287,1538671,87724,8890,25272,7,24.63,28.41,184,,Japan,126476458,31142,998,21970,8174,594,0,364,3.2,70.55,4.54,25706,5436,21.15,Western Pacific
2020-04-18,2324396,163952,577789,1582655,73958,6471,23502,7.05,24.86,28.38,184,,Jordan,10203140,1176,11,1041,124,8,0,0,0.94,88.52,1.06,1223,-47,-3.84,Eastern Mediterranean
2020-04-19,2404919,168522,608557,1627840,80523,4570,30768,7.01,25.3,27.69,184,,Kazakhstan,18776707,84648,585,54404,29659,1526,0,1833,0.69,64.27,1.08,73468,11180,15.22,Europe
2020-04-20,2478258,173965,629862,1674431,73339,5443,21305,7.02,25.42,27.62,184,,Kenya,53771300,17975,285,7833,9857,372,5,90,1.59,43.58,3.64,13771,4204,30.53,Africa
2020-04-21,2553508,181122,664043,1708343,75250,7157,34181,7.09,26.01,27.28,184,,Kosovo,1932774,7413,185,4027,3201,496,16,274,2.5,54.32,4.59,5877,1536,26.14,Europe
2020-04-22,2630314,187877,693207,1749230,78994,6755,29164,7.14,26.35,27.1,184,,Kuwait,4270563,64379,438,55057,8884,606,5,684,0.68,85.52,0.8,59763,4616,7.72,Eastern Mediterranean
2020-04-23,2719327,194727,721689,1802911,89013,6850,28482,7.16,26.54,26.98,184,,Kyrgyzstan,6524191,33296,1301,21205,10790,483,24,817,3.91,63.69,6.14,27143,6153,22.67,Europe
2020-04-24,2806267,201401,771329,1833537,96974,6674,49640,7.18,27.49,26.11,184,,Laos,7275556,20,0,19,1,0,0,0,0,95,0,19,1,5.26,Western Pacific
2020-04-25,2891199,206979,798239,1885981,84932,5578,26910,7.16,27.61,25.93,184,,Latvia,1886202,1219,31,1045,143,0,0,0,2.54,85.73,2.97,1192,27,2.27,Europe
